"Gene","Immune_Method","r","p"
"OAS3","NK_cells_activated",0.765036164068621,0
"OAS3","Monocytes.y",0.745303922734287,0
"OAS3","Macrophages_M0",0.814703862756592,0
"OAS3","Macrophages_M1",0.60484481454903,2.55351295663786e-13
"OAS3","Macrophages_M2",0.605192063297207,2.45581333047085e-13
"OAS3","Dendritic_cells_resting",0.683885574608996,0
"OAS3","Mast_cells_resting",0.601268152442811,3.83248988100604e-13
"OAS3","Mast_cells_activated",0.69409468780539,0
"OAS3","Eosinophils.y",0.624964407018385,2.35367281220533e-14
"OASL","Myeloid_dendritic_cells_MCPcounter",0.61249392318911,1.0547118733939e-13
"OASL","Endothelial_cells_MCPcounter",0.640245850406278,3.5527136788005e-15
"OASL","aDC",0.650045142023752,8.88178419700125e-16
"OASL","Astrocytes",0.631009097854018,1.11022302462516e-14
"OASL","CD4+ memory T-cells",-0.639670110349044,3.5527136788005e-15
"OASL","CD4+ naive T-cells",-0.636433718300635,5.77315972805081e-15
"OASL","CD4+ T-cells",-0.663672193866855,0
"OASL","CD4+ Tcm",-0.612296206360197,1.07913677993565e-13
"OASL","Macrophages_M1_quantiseq",0.692513368983957,0
"OASL","Macrophages_M2_quantiseq",0.687422737690117,0
"OASL","Monocytes_quantiseq",0.77101187582471,0
"OASL","Neutrophils_quantiseq",0.638252656434475,4.44089209850063e-15
"OASL","NK_cells_quantiseq",0.713480102784916,0
"OASL","T_cells_CD4_quantiseq",0.755545523994722,0
"OASL","T_cells_CD8_quantiseq",0.765657337315091,0
"SAMD9","naive B-cells",-0.618967489937876,4.88498130835069e-14
"SAMD9","Neutrophils.x",-0.645383523269633,1.77635683940025e-15
"SAMD9","NK cells",-0.62983375905273,1.28785870856518e-14
"SAMD9","NKT",-0.678756490986336,0
"SAMD9","Sebocytes",0.603118272102229,3.10862446895044e-13
"SAMD9","Skeletal muscle",0.642627960275019,2.66453525910038e-15
"SAMD9","Smooth muscle",0.753538440169456,0
"SAMD9","Th1 cells",0.629432599486075,1.37667655053519e-14
"SAMD9","Th2 cells",0.788679769428433,0
"SAMD9","Tregs",0.686033752343913,0
"SAMD9","ImmuneScore",-0.695888603375234,0
"SAMD9","StromaScore",-0.662615459406903,2.22044604925031e-16
"SAMD9","MicroenvironmentScore",-0.706403222446003,0
"SAMD9","CAFs_EPIC",-0.639711091047989,3.5527136788005e-15
"SAMD9","CD4_Tcells_EPIC",-0.693200916730328,0
"SAMD9","CD8_Tcells_EPIC",-0.73598166539343,0
"SAMD9","Endothelial_EPIC",-0.710646572678658,0
"SAMD9","Macrophages_EPIC",-0.679741648725606,0
"SAMD9","NKcells_EPIC",-0.676484478088756,0
"SAMD9","otherCells_EPIC",-0.662719633307869,0
"SAMD9","StromalScore_estimate",-0.721168136676158,0
"SAMD9","ImmuneScore_estimate",-0.628675602472394,1.50990331349021e-14
"SAMD9","ESTIMATEScore_estimate",-0.714320438919369,0
"UBE2L6","CD4+ naive T-cells",0.638518234822428,4.44089209850063e-15
"UBE2L6","CD4+ T-cells",0.651766949003137,8.88178419700125e-16
"UBE2L6","CD4+ Tcm",0.684693845832191,0
"UBE2L6","CD4+ Tem",0.622448275817584,3.21964677141295e-14
"UBE2L6","CD8+ naive T-cells",0.689757237858665,0
"UBE2L6","CD8+ T-cells",0.761888301250472,0
"UBE2L6","CD8+ Tcm",0.667216976579521,0
"UBE2L6","ImmuneScore",0.615545008689339,7.37188088351104e-14
"UBE2L6","Neutrophils_quantiseq",0.690870257475792,0
"UBE2L6","NK_cells_quantiseq",0.728830076930738,0
"UBE2L6","T_cells_CD4_quantiseq",0.729640359720485,0
"UBE2L6","T_cells_CD8_quantiseq",0.66648460399386,0
"UBE2L6","Tregs_quantiseq",0.747127034021137,0
"UBE2L6","Dendritic_cells_quantiseq",0.768209820512479,0
"UBE2L6","Other_quantiseq",0.762684463584294,0
"UBE2L6","MHC_IPS",-0.613762909170623,9.08162434143378e-14
"UBE2L6","EC_IPS",-0.648066037718779,1.33226762955019e-15
"UBE2L6","SC_IPS",-0.692632639199591,0
"UBE2L6","CP_IPS",-0.656103348916746,4.44089209850063e-16
"UBE2L6","AZ_IPS",-0.679759931246732,0
"UBE2L6","IPS_IPS",-0.736794484001368,0
"UBE2L6","B_cells_naive",-0.658228321481676,4.44089209850063e-16
"UBE2L6","Dendritic_cells_activated",0.676026875153414,0
"UBE2L6","Mast_cells_resting",0.600914460709554,3.98792110445356e-13
"UBE2L6","Mast_cells_activated",0.617892183583144,5.55111512312578e-14
"UBE2L6","Eosinophils.y",0.645320065941815,1.77635683940025e-15
