"Gene","Immune_Method","r","p"
"IFI6","MSC",0.600601604278075,0.000219498202844282
"IFI6","mv Endothelial cells",0.775401069518717,1.16357383284083e-07
"IFI6","Myocytes",0.702540106951872,5.17127649057869e-06
"IFI6","Plasma cells",-0.612016380510655,0.00015381567439654
"IFI6","pro B-cells",-0.602941176470588,0.000204294531882088
"IFI6","Neutrophils_quantiseq",0.605899806351265,0.000186416536379186
"MX1","T_cells_CD8_quantiseq",0.60533132993162,0.000189739111822851
"MX1","Tregs_quantiseq",0.616310160427808,0.000134078395318316
"MX1","MHC_IPS",0.697860962566845,6.34928313258953e-06
"MX1","T_cells_CD4_memory_resting",-0.654490370729676,3.59863409784555e-05
"MX1","T_cells_CD4_memory_activated",-0.658512846759769,3.099642702864e-05
"MX1","T_cells_follicular_helper",-0.626165435351106,9.70780651470271e-05
"NMI","NK_cells_MCPcounter",-0.634692513368984,7.27571461558441e-05
"NMI","Monocytic_lineage_MCPcounter",-0.68081550802139,1.29954144942879e-05
"NMI","CD4+ T-cells",0.698754911773634,6.10697561209683e-06
"NMI","CD4+ Tcm",0.689505347593583,9.07410105277506e-06
"NMI","CD4+ Tem",0.739639037433155,8.74903911762814e-07
"NMI","CD8+ naive T-cells",0.642045454545455,5.6342057837e-05
"NMI","CD8+ T-cells",0.741310160427808,8.02038694569518e-07
"NMI","CD8+ Tcm",0.737299465240642,9.8709426454846e-07
"OAS3","Fibroblasts_MCPcounter",-0.723155346387111,1.99481365426024e-06
"OAS3","aDC",-0.787666084474799,5.34472408553199e-08
"OAS3","Adipocytes",-0.699590543096013,5.8881010438494e-06
"OAS3","Astrocytes",-0.63407704742147,7.43088835624128e-05
"OAS3","B-cells",-0.671847583193018,1.85952587314908e-05
"OAS3","B_cells_quantiseq",0.6860384742355,1.04873810164996e-05
"OAS3","Other_quantiseq",-0.604499627625951,0.000194695405293821
"OAS3","MHC_IPS",-0.632045713561965,7.96434986218841e-05
"OAS3","EC_IPS",-0.666834151884508,2.26009199897348e-05
"OAS3","SC_IPS",-0.615487754937293,0.000137673234446023
"OAS3","T_cells_gamma_delta",0.621208325056828,0.000114353861856653
"SAMD9","pro B-cells",0.653743315508021,3.69890336515688e-05
"SAMD9","NKcells_EPIC",-0.626671122994652,9.54545208085023e-05
"UBE2L6","Chondrocytes",0.612558272286308,0.00015118936558034
"UBE2L6","CMP",0.605635707053284,0.000187953603786983
"UBE2L6","CAFs_EPIC",0.607266743880778,0.000178638794744668
"UBE2L6","Neutrophils_quantiseq",0.67535360489311,1.61881049471901e-05
"UBE2L6","NK_cells_quantiseq",0.759411343858917,2.99252334245992e-07
"UBE2L6","T_cells_CD4_quantiseq",0.763497862301207,2.36714251089509e-07
"UBE2L6","T_cells_CD8_quantiseq",0.793806207414859,3.55146729802414e-08
"UBE2L6","Dendritic_cells_quantiseq",0.644307741067745,5.20095016942612e-05
"UBE2L6","AZ_IPS",-0.613193205599929,0.000148163175180072
"UBE2L6","B_cells_naive",-0.705262097467133,4.58110341616802e-06
