"","ID","B_cells_naive","B_cells_memory","Plasma_cells","T_cells_CD8","T_cells_CD4_naive","T_cells_CD4_memory_resting","T_cells_CD4_memory_activated","T_cells_follicular_helper","T_cells_regulatory_(Tregs)","T_cells_gamma_delta","NK_cells_resting","NK_cells_activated","Monocytes","Macrophages_M0","Macrophages_M1","Macrophages_M2","Dendritic_cells_resting","Dendritic_cells_activated","Mast_cells_resting","Mast_cells_activated","Eosinophils","Neutrophils","Group"
"1","GSM337199",0,0.121036921604104,0,0,0.392768782465854,0.0693712515791857,0,0,0,0.0272793126169563,0,0.0623843366224801,0,0,0,0,0,0,0.214588983267415,0,0.112570411844004,0,"healthy"
"2","GSM337200",0,0.0505234588954472,0,0,0.295250412066032,0,0,0,0,0.11206788602003,0.0267657470122057,0,0.38929006913589,0.0505868264706121,0,0,0,0,0,0.0755156003997839,0,0,"healthy"
"3","GSM337201",0,0.196770649458551,0.0990378074701501,0,0.0721606614382669,0.129693895089714,0,0,0.00563736570716717,0.0322006581000801,0.0705731975517957,0,0.153500266771043,0,0,0,0.0963534514824056,0,0.116578340842699,0.0274937060881274,0,0,"healthy"
"4","GSM337202",0,0.144624047892838,0.0629494986016653,0,0.172692166060398,0.0635343890263985,0,0,0.0666636525205038,0,0,0.0691982921772187,0.213672195310325,0.0287732345779923,0,0,0,0,0.17789252383266,0,0,0,"healthy"
"5","GSM337203",0,0,0.0376937174712927,0,0.387156612203136,0,0,0,0.126769878637036,0,0.14717008022779,0.0311009619792782,0.0189510793171611,0.0621433962615998,0.0432407089848108,0,0.00272669619658706,0,0.143046868721308,0,0,0,"healthy"
"6","GSM337204",0,0,0.00562013932065483,0.0490897417021888,0.214381914924299,0,0.0496233737608668,0,0.112193389183921,0,0,0.0796379350317677,0.175668028712353,0,0,0,0.0484104596340555,0.0192758280843942,0.241776242618875,0,0.00432294702662401,0,"healthy"
"7","GSM337205",0,0.0708316673117193,0.566513290353644,0.129473472903694,0.0972664650964364,0,0,0.00241756342574693,0,0,0.02139416394687,0.00748123491646992,0,0,0,0,0.0301951393813968,0,0.0398814801628124,0.00641845553576219,0.0281270669654474,0,"healthy"
"8","GSM337206",0,0.0336381070654092,0.0635064193321773,0,0.0584229649110779,0.27162962169474,0,0,0.0888862449930735,0,0,0.0338807570045966,0.00099162503516049,0,0,0.0270143159710247,0.0207405313789414,0,0.328724701295215,0,0.0725647113185844,0,"healthy"
"9","GSM337207",0,0.202012452236449,0.0148352540259605,0,0,0.0772841865712155,0,0,0.0461876651522345,0.0383151666151423,0,0.108651390860862,0.0490624026363923,0,0.00371715830821839,0.0503404574557109,0.205084690476701,0,0.204509175661114,0,0,0,"healthy"
"10","GSM337208",0,0,0,0,0.25193728493577,0,0,0,0,0.0846657137592306,0,0.204065071853551,0.106529566795812,0.0654862313973049,0,0.0376870573084225,0,0,0.219485971894076,0,0.0301431020558334,0,"healthy"
"11","GSM337209",0,0.214554659890028,0.237906766967772,0,0.117462025497157,0,0,0,0.0880918225555085,0.0108633626216354,0.0321032612814148,0.0449820576195331,0.0230386968358714,0.00596088794139671,0,0,0.135089345509918,0,0.0713561847276462,0,0,0.0185909285521194,"healthy"
"12","GSM337210",0,0.0725664181285649,0.0398094535893183,0,0,0.167708544708706,0,0,0.0113204038480526,0.0188711709004761,0,0,0.258549055055351,0.0191158818066636,0,0,0.228228868412035,0,0.130816412814124,0.0530137907367084,0,0,"healthy"
"13","GSM337211",0,0,0.0039762000178847,0,0.109927333252306,0,0,0,0,0,0,0.295392812641767,0.0461782387349673,0.223473743598861,0,0,0,0.0366664679684824,0.225051848547614,0,0.0593333552381173,0,"healthy"
"14","GSM337212",0,0.059095955418867,0,0,0.337113619394036,0,0,0.0628965395173174,0,0.00458143970970199,0.0863931288108859,0,0,0.0777838542630078,0,0,0,0,0.238122097886074,0.0501240850194216,0.0838892799806888,0,"healthy"
"15","GSM337213",0.0184109818589911,0,0,0,0.110204232889622,0.20989470401829,0,0,0,0.0984918076175313,0.0464869738856596,0,0.332036632469879,0.0397283998792566,0,0,0,0,0.129428081027839,0.015318186352931,0,0,"healthy"
"16","GSM337214",0.0809933684561427,0,0,0.0333304580146517,0.146101372225039,0.148083995407413,0.0260689407063077,0,0,0,0,0.0050517965981717,0.0308546622396024,0,0,0.0718566466169394,0.15779753495416,0,0.299861224781572,0,0,0,"healthy"
