"sampleid","DISEASE","IFI6","MX1","NMI","OAS3","OASL","SAMD9","UBE2L6"
"GSM1228860",0,0.0149686113277917,0.00426071411262215,0.132127211395831,0.0318556926235764,0.0370581655287207,0.154047800928933,0.0487407382804778
"GSM1228861",0,0.113497710552249,0.109146084140558,0.0749369042484077,0.0815912172032187,0.0861126701418162,0.10671134230501,0.0839268489661936
"GSM1228862",0,0.0885062852030882,0.124828180352638,0.124257942599693,0.0909882963071306,0.084931699017542,0.158595558547307,0.123980089625902
"GSM1228863",1,0.0511863307368604,0.0611671142312271,0.159389377435346,0.0863554315183415,0.0370570680951576,0.113897883755373,0.128643669738027
"GSM1228864",1,0.457495046307715,1,1,1,1,0.87472605938278,0.488740585782509
"GSM1228865",1,0.177553843994383,0.136013578783062,0.0512704070018247,0.0948382054357737,0.0952604066032443,0.0208023869749014,0.0385607068239222
"GSM1228866",0,0.0245075380990822,0,0.0788174752814248,0.0112089898283981,0.0103713769013321,0.183838684445133,0.0402825757158347
"GSM1228867",0,0.0713986636385637,0.0412880402644317,0.0658038160836454,0.0800576521605142,0.0659807493961645,0.12032838456684,0.121896917207095
"GSM1228868",0,0.0618854052461396,0.0736340724971098,0.215789471067184,0.0618373903419906,0.0344419890848235,0.120092469677786,0.210604623843388
"GSM1228869",0,0.0778273508390291,0.108573312546215,0.0704861985090358,0.0702489681857581,0.0683698820185593,0.177102068881803,0.0869326841244853
"GSM1228870",0,0.0980001193568195,0.0666598867147528,0.221573210592076,0.0714181911930165,0.0951998036430002,0.168510891739957,0.181055793514608
"GSM1228871",0,0.0336427668714372,0.00529529040227621,0.029832000720841,0.0399248781982458,0,0.113233723561373,0.0262583498325205
"GSM1228872",0,0.277364357360401,0.246788163604365,0.208381377280344,0.304462188920399,0.157286240819504,0.167679234159108,0.211528322036346
"GSM1228873",1,0.505850818740627,0.506062288180028,0.304862194332871,0.512611828443925,0.38454423874778,0.326058508292643,0.230795135571873
"GSM1228874",1,0.126701730467707,0.210503328938323,0.0999780243470876,0.114040631943214,0.0748425169761112,0.089839982809855,0.0791704882227424
"GSM1228875",1,0.14075399999633,0.187654211554152,0.0732902795825487,0.0903880820694153,0.0939739137850152,0.0736723050723963,0
"GSM1228876",0,0.059398701094571,0.0986209157964125,0.0773506893429134,0.100402298672025,0.0904593299125179,0.066299652572338,0.132176040664098
