"sampleid","DISEASE","IFI6","MX1","NMI","OAS3","OASL","SAMD9","UBE2L6"
"GSM4213562",1,0.94811824860921,0.890920817112439,0.533815360197514,0.622871567196572,1,0.714043763342199,0.71761407339404
"GSM4213563",1,0.274654545746741,0.107213526940315,0.212966228727626,0.323966044122831,0.292935280327436,0.0502569332904026,0.269458849217179
"GSM4213564",1,0.102069377445768,0.393257093184654,0.934353231637422,0.260199726744914,0.227028943198469,0.634190646176524,0.902414212341513
"GSM4213565",1,0.6514293596608,0.55378482331883,0.529693148752315,0.641885809671133,0.444007253743264,0.494750595106263,0.484480063518845
"GSM4213566",1,0.386845819862916,0.427432433063985,0.611828762895689,0.331263528020299,0,0.515818938803162,0.496836463786815
"GSM4213567",1,0.288712437960193,0.192013010987368,0,0.0556924744151089,0.515884927169413,0,0
"GSM4213568",1,0.304958631200298,0.37474167301482,0.838153601975134,0.439589651264752,0.624737465444789,0.766748123484317,0.643872664565913
"GSM4213569",1,0.635605023717755,0.636271866076561,0.53229433030597,0.725502448517052,0.387207397756329,0.501355855864239,0.883060814331439
"GSM4213570",1,0.353176250639482,0.195610661158184,0.362049202010405,0.251735519374019,0.0290850724710701,0.128710457305895,0.442175520432722
"GSM4213571",1,0,0,0.343598448108633,0,0.425295606274259,0.193741287439582,0.253504701883234
"GSM4213572",1,0.591601959560626,0.716113715281835,0.725398994797637,0.714130900256067,0.370989176212021,0.496273024889307,1
"GSM4213573",1,0.315059100198474,0.34596140634566,0.328762895688211,0.221980429342586,0.588727756160212,0.0492984353218599,0.366548395901049
"GSM4213577",0,0.430864954774219,0.597051964500194,0.521426681950446,0.519783318621839,0.481167675870608,0.791395479984143,0.602932784159988
"GSM4213578",0,1,0.850691442378244,0.924190988448991,1,0.900891796010184,0.887876210452653,0.670272684415552
"GSM4213579",0,0.362585677208189,0.582339827922215,0.630103165505687,0.355543320253213,0.320578160398031,0.342217275669599,0.410143165521177
"GSM4213580",0,0.544615092045245,0.547223247792946,0.877369720483203,0.863168535463441,0.476928207502519,0.633721633578324,0.670644865146515
"GSM4213581",0,0.742348312169043,1,1,0.839892329339381,0.834462290444303,1,0.976924794680297
"GSM4213582",0,0.554731631797594,0.519630981478972,0.944162772242307,0.400515339282021,0.505627733184613,0.84054688357879,0.71359452149964
"GSM4213583",0,0.680802680601796,0.606726082262715,0.782338418128913,0.527800354823768,0.761335971167492,0.606347676061188,0.836314914522492
