"spec","env","r","p","rd","pd"
"MX1","AZ_IPS",0.14528785996109,0.0099009900990099,"< 0.2","< 0.01"
"MX1","IPS_IPS",0.204418666871343,0.0099009900990099,"0.2 - 0.4","< 0.01"
"NMI","B_cells_memory_CIBERSORT",0.121508896936707,0.0099009900990099,"< 0.2","< 0.01"
"NMI","Plasma_cells_CIBERSORT",0.122292696806751,0.0198019801980198,"< 0.2","0.01 - 0.05"
"NMI","Monocytes_CIBERSORT",0.161403085184101,0.0099009900990099,"< 0.2","< 0.01"
"NMI","Macrophages_M1_CIBERSORT",0.0888696897555514,0.0099009900990099,"< 0.2","< 0.01"
"NMI","Macrophages_M2_CIBERSORT",0.0981086068628283,0.0099009900990099,"< 0.2","< 0.01"
"NMI","Dendritic_cells_activated_CIBERSORT",0.176920403547846,0.0099009900990099,"< 0.2","< 0.01"
"NMI","Mast_cells_activated_CIBERSORT",0.105994345373553,0.0198019801980198,"< 0.2","0.01 - 0.05"
"NMI","Neutrophils_CIBERSORT",0.190074481736021,0.0099009900990099,"< 0.2","< 0.01"
"NMI","Correlation_CIBERSORT",0.0949052961489447,0.0099009900990099,"< 0.2","< 0.01"
"NMI","RMSE_CIBERSORT",0.108008784637829,0.0099009900990099,"< 0.2","< 0.01"
"NMI","B_lineage_MCPcounter",0.184042374530607,0.0099009900990099,"< 0.2","< 0.01"
"NMI","Monocytic_lineage_MCPcounter",0.10603227368596,0.0099009900990099,"< 0.2","< 0.01"
"NMI","aDC",0.0968260036708618,0.0198019801980198,"< 0.2","0.01 - 0.05"
"NMI","B-cells",0.0604499361442428,0.0099009900990099,"< 0.2","< 0.01"
"NMI","Basophils",0.0649452954469115,0.0099009900990099,"< 0.2","< 0.01"
"NMI","CD8+ naive T-cells",0.108179500981734,0.0198019801980198,"< 0.2","0.01 - 0.05"
"NMI","Class-switched memory B-cells",0.0428004625137777,0.0396039603960396,"< 0.2","0.01 - 0.05"
"NMI","CMP",0.1212291113469,0.0099009900990099,"< 0.2","< 0.01"
"NMI","Epithelial cells",0.0838333262142574,0.0099009900990099,"< 0.2","< 0.01"
"NMI","HSC",0.054066632863159,0.0396039603960396,"< 0.2","0.01 - 0.05"
"NMI","Macrophages",0.119987755119761,0.0099009900990099,"< 0.2","< 0.01"
"NMI","Macrophages M1",0.105383051114441,0.0099009900990099,"< 0.2","< 0.01"
"NMI","Macrophages M2",0.0553280485415999,0.0495049504950495,"< 0.2","0.01 - 0.05"
"NMI","Melanocytes",0.0776892542536343,0.0297029702970297,"< 0.2","0.01 - 0.05"
"NMI","Monocytes",0.153420307951531,0.0099009900990099,"< 0.2","< 0.01"
"NMI","Neutrophils",0.213342673429746,0.0099009900990099,"0.2 - 0.4","< 0.01"
"NMI","NKT",0.0880944387959389,0.0099009900990099,"< 0.2","< 0.01"
"NMI","Osteoblast",0.0784850609141531,0.0099009900990099,"< 0.2","< 0.01"
"NMI","Pericytes",0.0980002200131976,0.0198019801980198,"< 0.2","0.01 - 0.05"
"NMI","NKcells_EPIC",0.0888118334468717,0.0396039603960396,"< 0.2","0.01 - 0.05"
"NMI","ImmuneScore_estimate",0.0971454008415075,0.0099009900990099,"< 0.2","< 0.01"
"NMI","ESTIMATEScore_estimate",0.0857109353325606,0.0099009900990099,"< 0.2","< 0.01"
"NMI","TumorPurity_estimate",0.141036953098458,0.0099009900990099,"< 0.2","< 0.01"
"NMI","B_cell_TIMER",0.170664810829391,0.0099009900990099,"< 0.2","< 0.01"
"NMI","T_cell_CD4_TIMER",0.0827270162835217,0.0198019801980198,"< 0.2","0.01 - 0.05"
"NMI","B_cells_quantiseq",0.0727008579171797,0.0198019801980198,"< 0.2","0.01 - 0.05"
"NMI","Macrophages_M1_quantiseq",0.0771255534628091,0.0099009900990099,"< 0.2","< 0.01"
"NMI","MHC_IPS",0.100754821975048,0.0198019801980198,"< 0.2","0.01 - 0.05"
"NMI","AZ_IPS",0.1036363706644,0.0099009900990099,"< 0.2","< 0.01"
"NMI","IPS_IPS",0.0733843810025067,0.0495049504950495,"< 0.2","0.01 - 0.05"
