"","ID","B_cells_naive","B_cells_memory","Plasma_cells","T_cells_CD8","T_cells_CD4_naive","T_cells_CD4_memory_resting","T_cells_CD4_memory_activated","T_cells_follicular_helper","T_cells_regulatory_(Tregs)","T_cells_gamma_delta","NK_cells_resting","NK_cells_activated","Monocytes","Macrophages_M0","Macrophages_M1","Macrophages_M2","Dendritic_cells_resting","Dendritic_cells_activated","Mast_cells_resting","Mast_cells_activated","Eosinophils","Neutrophils","Group"
"1","GSM2066635",0,0.00676870379016907,0,0.420522282612141,0,0,0.0446356031750342,0.0804132786861037,0.0665429451463077,0.0554312276416228,0.00476600883880137,0.0112475164936301,0,0.00471126714749295,0.0521577354484774,0.0655362286417365,0.0291288266780391,0.111048460877079,0,0.033894990804705,0,0.0131949240186604,"disease"
"2","GSM2066636",0,0.088849324356773,0.0612689509896744,0.254323959648715,0,0,0.0336149002472722,0.250390863434642,0,0,0.020249342960504,0.0292150269981095,0.000582758357408428,0.0801540353651137,0.0224508530819307,0,0,0.0968609728892084,0.0226161805265401,0.0394228311441091,0,0,"disease"
"3","GSM2066637",0.0546604025844502,0,0,0.223160318418048,0,0.0197134726608185,0.00877409609560388,0.073686678722803,0.00975635020157706,0.0831808597511947,0,0.0594393396329435,0,0.0168111492682028,0.0875455379867144,0.0195500500294842,0.0847169548415405,0.0601506391211475,0,0.058783546176236,0.0248901542179812,0.115180450291254,"disease"
"4","GSM2066638",0,0.115406633084596,0,0.0685209837858688,0,0.030389325011017,0.0216670797770289,0.0772089706093419,0,0.114189149811461,0.00762409215945882,0.011636826312377,0,0,0.0601625545508138,0.140006002119873,0,0.0701227865233538,0,0.0710847233361409,0,0.211980872918669,"disease"
"5","GSM2066639",0,0.0963318227740196,0,0,0.142838866304232,0.0928293280363936,0.0829783919623261,0,0.0357622082079715,0.209673600906262,0,0.0243028543733741,0,0.0493274603703048,0.0416257505610241,0,0.108411604555641,0.0651200956511454,0,0,0.0268358390223648,0.0239621772749406,"disease"
"6","GSM2066640",0,0.160426269725269,0,0,0.0838007320549203,0,0.181155769609648,0.168883063495693,0,0.0357414661200559,0.0100755748029849,0,0,0.0660277334352213,0.0585528758040898,0,0.0530123331406648,0,0,0,0.127420184375247,0.0549039974362062,"disease"
"7","GSM2066641",0,0,0,0,0,0,0.120020712132725,0.0938092453854648,0,0,0.185816134346035,0,0.0365437190427448,0.21875030263736,0.0309867814709173,0,0.0825323864995184,0.0985324502824087,0,0,0.133008268202825,0,"disease"
"8","GSM2066642",0,0,0.0325195059392362,0,0,0.176721013209028,0.110497268577523,0.0107230524246358,0,0.0563539754458321,0.0161487513155726,0,0,0.185534361289893,0.0258303390860451,0,0,0.0748407927461686,0.128014909332683,0.0882864775754801,0.0832374414910747,0.0112921115668276,"disease"
"9","GSM2066643",0.0469100541982279,0,0,0.149833088050215,0,0.123354315886136,0.11088922143002,0.129884339038983,0,0.115443454859824,0,0.0437955390273818,0,0.016614501877202,0.0429214417322033,0.114166695535965,0,0,0.0649127700802373,0,0.0412745782836056,0,"disease"
"10","GSM2066644",0,0.10975122684304,0,0.00147993741075936,0,0.0979466166833632,0.030060019141095,0.17895378293491,0.0062260821047843,0.0878055169089084,0.0480963092728991,0,0,0,0.0623368276890732,0.186370542502053,0.0489586236205514,0.0602891700612062,0,0.0256706836794227,0.0560546611479342,0,"disease"
"11","GSM2066645",0,0,0,0,0.00533900267672226,0.222034220210801,0.00238536373114837,0.130368106809528,0,0.00122510449027607,0.0483195402442273,0,0.0452250417847768,0.0318148849473275,0,0.143439459373308,0.0865652372768383,0.0274320674081757,0,0.0267053909354881,0.171129906121933,0.0580166739894491,"disease"
"12","GSM2066646",0,0.189472096365976,0,0.118989328800007,0.0890489925868853,0,0.0368785451481277,0.0969146443720452,0.0494858673974379,0,0.115398750653814,0,0,0.142790881905607,0,0,0,0.0868484165320112,0.0366603912102453,0,0.0375120850278442,0,"disease"
"13","GSM2066647",0,0.125459023188431,0.00424495285509234,0.0550443128959151,0,0.0632577996492285,0.106008424642663,0.132142806284001,0.0220753256632545,0.0114208011932152,0.0820870094417588,0,0,0.0235090616594772,0.00369468517170217,0.0846910546084025,0,0.0823849182428413,0.0285711202523666,0.065297477502358,0.0971865426038468,0.0129246841454461,"disease"
"14","GSM2066648",0,0.148092432785577,0,0,0.139952727717617,0.0647190965403534,0.080341997441886,0.118102603047298,0.00544511600772689,0.15539853280207,0,0,0,0,0.0715054880449422,0,0.109041800962317,0.0223268338740805,0,0,0.0538162532664191,0.0312571175097128,"disease"
"15","GSM2066649",0,0.0791760309763324,0,0,0.163410279605476,0.0106587655388158,0,0.068902874921951,0,0,0,0.145175324135799,0,0.228881402104771,0,0,0.115995215377581,0,0,0,0,0.187800107339274,"disease"
"16","GSM2066650",0.0110899891792129,0.111493502863985,0.145786227188146,0.153432002134526,0.0681908822397863,0,0.049664540692842,0.0102375883466474,0,0.191296293110131,0,0,0,0,0.0686933840585651,0,0,0.0640232933971641,0,0.126092296788995,0,0,"disease"
"17","GSM2066651",0,0,0.37384055311891,0.0745969502025486,0.0326632354131457,0.0901821890402204,0,0,0.0372564621992427,0,0,0.0446798357902716,0.0137953650480983,0,0.0556915998097469,0.044689586593592,0.036997949505012,0.019872528344757,0.145344635554723,0,0.0303891093797321,0,"disease"
