"spec","env","r","p","rd","pd"
"MX1","aDC",0.352409815259582,0.0099009900990099,"0.2 - 0.4","< 0.01"
"MX1","B-cells",0.283917393976469,0.0099009900990099,"0.2 - 0.4","< 0.01"
"MX1","Basophils",0.122358668387982,0.0099009900990099,"< 0.2","< 0.01"
"MX1","CD4+ memory T-cells",0.316520077193911,0.0099009900990099,"0.2 - 0.4","< 0.01"
"MX1","CD4+ Tem",0.249712743152582,0.0099009900990099,"0.2 - 0.4","< 0.01"
"MX1","CD8+ Tcm",0.322225640385483,0.0099009900990099,"0.2 - 0.4","< 0.01"
"MX1","CD8+ Tem",0.226323604176899,0.0099009900990099,"0.2 - 0.4","< 0.01"
"MX1","Class-switched memory B-cells",0.296296962714092,0.0099009900990099,"0.2 - 0.4","< 0.01"
"MX1","DC",0.11776684874269,0.0099009900990099,"< 0.2","< 0.01"
"MX1","Epithelial cells",0.458278097162533,0.0099009900990099,">= 0.4","< 0.01"
"MX1","Erythrocytes",0.284258965595031,0.0099009900990099,"0.2 - 0.4","< 0.01"
"MX1","iDC",0.077182007607439,0.0495049504950495,"< 0.2","0.01 - 0.05"
"MX1","Keratinocytes",0.488710931032042,0.0099009900990099,">= 0.4","< 0.01"
"MX1","Macrophages",0.33072465305254,0.0099009900990099,"0.2 - 0.4","< 0.01"
"MX1","Macrophages M1",0.408747677816104,0.0099009900990099,">= 0.4","< 0.01"
"MX1","Melanocytes",0.142119541178506,0.0099009900990099,"< 0.2","< 0.01"
"MX1","Memory B-cells",0.290655501695171,0.0099009900990099,"0.2 - 0.4","< 0.01"
"MX1","MEP",0.234995998435527,0.0099009900990099,"0.2 - 0.4","< 0.01"
"MX1","Monocytes.x",0.111397612896779,0.0396039603960396,"< 0.2","0.01 - 0.05"
"MX1","MPP",0.215171977352489,0.0099009900990099,"0.2 - 0.4","< 0.01"
"MX1","MSC",0.0796048518948499,0.0099009900990099,"< 0.2","< 0.01"
"MX1","naive B-cells",0.132700259941899,0.0198019801980198,"< 0.2","0.01 - 0.05"
"MX1","Neurons",0.075529788306534,0.0198019801980198,"< 0.2","0.01 - 0.05"
"MX1","Neutrophils.x",0.481698734138194,0.0099009900990099,">= 0.4","< 0.01"
"MX1","pDC",0.318737523000108,0.0099009900990099,"0.2 - 0.4","< 0.01"
"MX1","Pericytes",0.218771415507248,0.0099009900990099,"0.2 - 0.4","< 0.01"
"MX1","Plasma cells",0.316077174128363,0.0099009900990099,"0.2 - 0.4","< 0.01"
"MX1","pro B-cells",0.364594811107621,0.0099009900990099,"0.2 - 0.4","< 0.01"
"MX1","Sebocytes",0.470357205209822,0.0099009900990099,">= 0.4","< 0.01"
"MX1","Smooth muscle",0.188605808371911,0.0099009900990099,"< 0.2","< 0.01"
"MX1","Tgd cells",0.192750838414173,0.0099009900990099,"< 0.2","< 0.01"
"MX1","Th1 cells",0.421550782482758,0.0099009900990099,">= 0.4","< 0.01"
"MX1","Th2 cells",0.2125770245495,0.0099009900990099,"0.2 - 0.4","< 0.01"
"MX1","Tregs",0.236636503116315,0.0099009900990099,"0.2 - 0.4","< 0.01"
"MX1","ImmuneScore",0.1784284549057,0.0099009900990099,"< 0.2","< 0.01"
"MX1","CD8_Tcells_EPIC",0.0851694805903305,0.0495049504950495,"< 0.2","0.01 - 0.05"
"MX1","Macrophages_EPIC",0.0743940196535201,0.0495049504950495,"< 0.2","0.01 - 0.05"
"MX1","StromalScore_estimate",0.0954391435396501,0.0099009900990099,"< 0.2","< 0.01"
"MX1","ImmuneScore_estimate",0.191433944604336,0.0099009900990099,"< 0.2","< 0.01"
"MX1","B_cells_quantiseq",0.0835399939684284,0.0495049504950495,"< 0.2","0.01 - 0.05"
"MX1","Macrophages_M1_quantiseq",0.0932288906101208,0.0198019801980198,"< 0.2","0.01 - 0.05"
"MX1","T_cells_CD8_quantiseq",0.225651012089112,0.0099009900990099,"0.2 - 0.4","< 0.01"
"MX1","Dendritic_cells_quantiseq",0.104290591353995,0.0099009900990099,"< 0.2","< 0.01"
"MX1","EC_IPS",0.136010848479512,0.0099009900990099,"< 0.2","< 0.01"
