"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0002440","BP","GO:0002440","production of molecular mediator of immune response","5/81","231/18805",0.0216450216450216,5.0251189140078,4.04855738155469,0.00321772251701327,0.049319919269393,0.0420756637660265,"383/684/2048/3553/91543",5
"GO:0035580","CC","GO:0035580","specific granule lumen","4/82","62/19880",0.0645161290322581,15.6412273800157,7.43082358977558,0.000125025100404135,0.014752961847688,0.0128973261469529,"383/3934/116844/4057",4
"GO:0042581","CC","GO:0042581","specific granule","5/82","160/19880",0.03125,7.57621951219512,5.37497403338073,0.000525389565695854,0.0309979843760554,0.0270990407569441,"383/10970/3934/116844/4057",5
"GO:1904724","CC","GO:1904724","tertiary granule lumen","3/82","55/19880",0.0545454545454545,13.2239467849224,5.84224452755208,0.00152036385306694,0.0363366385795488,0.031766196082032,"116844/4057/4318",3
"GO:0035577","CC","GO:0035577","azurophil granule membrane","3/82","58/19880",0.0517241379310345,12.5399495374264,5.66418857519163,0.00177235361737654,0.0363366385795488,0.031766196082032,"684/10970/8876",3
"GO:0034774","CC","GO:0034774","secretory granule lumen","6/82","324/19880",0.0185185185185185,4.48961156278229,4.07570846272081,0.00221780197819101,0.0363366385795488,0.031766196082032,"383/3934/3959/116844/4057/1992",6
"GO:0060205","CC","GO:0060205","cytoplasmic vesicle lumen","6/82","329/19880",0.0182370820668693,4.42138038401661,4.02724782184208,0.00239378572099141,0.0363366385795488,0.031766196082032,"383/3934/3959/116844/4057/1992",6
"GO:0031983","CC","GO:0031983","vesicle lumen","6/82","330/19880",0.0181818181818182,4.4079822616408,4.01767171720162,0.00243021120462237,0.0363366385795488,0.031766196082032,"383/3934/3959/116844/4057/1992",6
"GO:0042599","CC","GO:0042599","lamellar body","2/82","18/19880",0.111111111111111,26.9376693766938,7.08515322674616,0.00246350092064738,0.0363366385795488,0.031766196082032,"10970/27074",2
"GO:0005766","CC","GO:0005766","primary lysosome","4/82","155/19880",0.0258064516129032,6.25649095200629,4.22811506147029,0.00388083673150692,0.0457938734317816,0.0400338947039661,"383/684/10970/8876",4
"GO:0042582","CC","GO:0042582","azurophil granule","4/82","155/19880",0.0258064516129032,6.25649095200629,4.22811506147029,0.00388083673150692,0.0457938734317816,0.0400338947039661,"383/684/10970/8876",4
"GO:0017025","MF","GO:0017025","TBP-class protein binding","3/82","25/18639",0.12,27.2765853658537,8.73920191620103,0.000176014425927962,0.0335752651089977,0.0304272182932708,"23066/2099/4306",3
"GO:0070566","MF","GO:0070566","adenylyltransferase activity","3/82","30/18639",0.1,22.730487804878,7.91810544414116,0.000305816011622465,0.0335752651089977,0.0304272182932708,"4938/4939/4940",3
"GO:0003725","MF","GO:0003725","double-stranded RNA binding","4/82","75/18639",0.0533333333333333,12.1229268292683,6.41603357769376,0.000333529123599315,0.0335752651089977,0.0304272182932708,"4938/4939/4940/8638",4
